Foundation type (group),Project Name,Status,Total Project Capacity,Year awarded (group),Commissioning date,Distance To Shore Average,Number Of Turbines,Owner,Status,To_Show_Turbine_Manufacturer,Total Project Capacity,Water Depth Average,GIS Latitude,GIS Longitude
Monopile,Humber Gateway,Online,219,Unknown,2015,8,73,RWE,Online,MHI Vestas Offshore Wind,219,14.5,53.644,0.293
Monopile,Northwester 2,Online,218.5,Unknown,2020,46,23,Parkwind & Summit Tailwind,Online,MHI Vestas Offshore Wind,218.5,32.5,51.6867,2.775
Monopile,Northwind,Online,216,Unknown,2014,37.5,72,Aspiravi & Colryut & Sumimoto Corporation,Online,MHI Vestas Offshore Wind,216,24,51.619,2.901
Monopile,Westermost Rough,Online,210,Unknown,2015,8,35,Macquarie Capital & Marubeni & Ørsted,Online,SIEMENS Wind Power A/S,210,17.5,53.805,0.149
Monopile,Horns Rev 2 (blade upgrade until 2016),Online,209.3,2005,2009,30,91,Ørsted,Online,SIEMENS Wind Power A/S,209.3,13,55.6008,7.5825
Gravity Base,Rødsand II,Online,207,2008,2010,23,90,RWE & SEAS-NVE,Online,SIEMENS Wind Power A/S,207,9,54.5557,11.5473
Monopile,Trianel Windpark Borkum 2,Online,202.56,Unknown,2020,45,32,EWE & EWZ & Fontavis & Trianel,Online,Senvion,202.56,30,54.05,6.466
Tripod,Trianel Windpark Borkum,Online,200,Unknown,2015,45,40,Trianel,Online,ADWEN,200,30,54.046,6.457
Monopile,Robin Rigg,Online,174,Unknown,2010,9.5,58,RWE,Online,MHI Vestas Offshore Wind,174,5,54.7465,-3.6925
Monopile,Gunfleet Sands (Phase 1 and 2),Online,172.8,Unknown,2010,7,48,Development Bank of japan & Jera & Ørsted,Online,SIEMENS Wind Power A/S,172.8,8.5,51.7298,1.2383
Gravity Base,Nysted,Online,165.6,Unknown,2003,8,72,Ørsted & Pension Danmark & Stadtwerke Lübeck,Online,SIEMENS Wind Power A/S,165.6,8,54.5491,11.714
Monopile,Nobelwind,Online,165,Unknown,2017,47,50,Meewind & Parkwind & Sumimoto Corporation,Online,MHI Vestas Offshore Wind,165,26,51.664,2.816
Monopile,Belwind I,Online,165,Unknown,2010,48.5,55,Parkwind & Sumimoto & Zeewind,Online,MHI Vestas Offshore Wind,165,26,51.6691,2.8015
Monopile,Horns Rev 1,Online,160,Unknown,2002,14,80,Ørsted & Vattenfall,Online,MHI Vestas Offshore Wind,160,10,55.4854,7.8397
Jacket,Ormonde,Online,152.25,Unknown,2012,10,30,AMF & Vattenfall,Online,Senvion,152.25,23.5,54.0763,-3.5117
Monopile,Eneco Luchterduinen,Online,129,Unknown,2015,24,43,Eneco & Mitsubishi Corporation,Online,MHI Vestas Offshore Wind,129,20,52.405,4.162
Monopile,Prinses Amalia,Online,120,Unknown,2008,24.7,60,Eneco,Online,MHI Vestas Offshore Wind,120,21.5,52.5886,4.2232
Monopile,EnBW Albatros,Online,117.6,Unknown,2020,105,16,Canada Pension Plan Investment Board (CPPIB) & Enbridge & EnBW,Online,SIEMENS Wind Power,117.6,40,54.515,6.279
Monopile,Borkum Riffgat,Online,113.4,Unknown,2014,25,30,Enova & EWE,Online,SIEMENS Wind Power A/S,113.4,18,53.692,6.475
Monopile,Nordergründe,Online,110.7,Unknown,2017,13,18,Gothaer Leben Renewables & John Laing & Skyborn Renewables,Online,Senvion,110.7,10,53.838,8.166
Gravity Base,Lillgrund,Online,110.4,Unknown,2007,10,48,Vattenfall,Online,SIEMENS Wind Power,110.4,9,55.511,12.779
Monopile,Egmond ann Zee,Online,108,Unknown,2007,12,36,Shell,Online,MHI Vestas Offshore Wind,108,16.5,52.6055,4.4206
Monopile,Lynn,Online,97.2,Unknown,2008,5.2,27,BlackRock & Macquarie Capital,Online,SIEMENS Wind Power A/S,97.2,10,53.1667,0.4486
Monopile,Inner Dowsing,Online,97.2,Unknown,2008,5,27,BlackRock & Macquarie Capital,Online,SIEMENS Wind Power A/S,97.2,10,53.1667,0.4486
3-Legs Suction Bucket Jacket,EOWDC,Online,93.2,Unknown,2018,2.5,11,Vattenfall,Online,MHI Vestas Offshore Wind,93.2,24,57.225,-1.993
Monopile,Rhyl Flats,Online,90,Unknown,2009,8,25,Greencoat UK Wind & Macquarie Capital & RWE,Online,SIEMENS Wind Power A/S,90,9.5,53.3795,-3.6436
Monopile,Kentish Flats,Online,90,Unknown,2005,8.5,30,Vattenfall,Online,MHI Vestas Offshore Wind,90,5,51.4616,1.0933
Monopile,Burbo Bank,Online,90,Unknown,2007,7.2,25,Ørsted,Online,SIEMENS Wind Power A/S,90,3,53.4833,-3.1755
Monopile,Barrow,Online,90,Unknown,2006,7,30,Ørsted,Online,MHI Vestas Offshore Wind,90,22,53.9875,-3.2702
Monopile,Teesside,Online,62.1,Unknown,2013,1.5,27,EDF Renouvelables,Online,SIEMENS Wind Power A/S,62.1,10.5,54.6483,-1.0954
Monopile,Scroby Sands,Online,60,Unknown,2004,2.5,30,RWE,Online,MHI Vestas Offshore Wind,60,6,52.6458,1.7876
Monopile,North Hoyle,Online,60,Unknown,2003,6.5,30,RWE & Zephyr,Online,MHI Vestas Offshore Wind,60,8.5,53.4178,-3.4478
Jacket & Tripod,alpha ventus,Online,60,Unknown,2010,45,12,EWE & RWE & Vattenfall,Online,ADWEN,60,30,54.0162,6.6275
Monopile,Kentish Flats Extension,Online,49.5,Unknown,2015,8.5,15,Vattenfall,Online,MHI Vestas Offshore Wind,49.5,5,51.45,1.079
Monopile,EnBW Baltic 1,Online,48.3,Unknown,2010,15,21,19 German Municipalities & EnBW,Online,SIEMENS Wind Power A/S,48.3,17.5,54.6093,12.6512
Semi-Sub,Kincardine,Online,48,Unknown,2021,15,5,Cobra Wind International & Pilot Offshore Renewable Energy,Online,MHI Vestas Offshore Wind,48,67,57.014,-1.7912
Gravity Base,Kårehamn,Online,48,Unknown,2013,6,16,RWE,Online,MHI Vestas Offshore Wind,48,14,56.984,17.022
Steel Coffer Gravity Base,Pori Tahkoluoto 2,Online,42,Unknown,2017,2,10,Suomen Hyötytuuli Oy,Online,SIEMENS Wind Power A/S,42,15,61.6248,21.33
